41,Blush Pink Lounge Set,Soft pastel lounge set offering both comfort and elegance for casual indoor and outdoor wear.,Women,FashionHub,1599,30,4.44,images/women\img3.jfif
42,Emerald Green Wrap Dress,Chic wrap dress featuring a flattering silhouette suitable for parties and evening events.,Women,FashionHub,2299,18,4.12,images/women\img4.jpg
27,Luxury Fashion Hair Clip Collection,Stylish assortment of trendy hair clips suitable for everyday and festive wear.,Accessories,FashionHub,599,40,4.5,images/accessories\images.jpg.jfif
28,Pearl Hair Brooch,"Elegant pearl hair accessory, perfect for weddings and festive occasions.",Accessories,FashionHub,699,30,4.7,images/accessories\images (1).jpg
29,Crystal Butterfly Jewelry Set,Premium necklace and earrings set with a butterfly design for parties and special events.,Accessories,FashionHub,999,20,4.45,images/accessories\images 2.jpg
30,Black Pendant Necklace,Minimalist black pendant necklace crafted for a modern and elegant look.,Accessories,FashionHub,799,25,4.8,images/accessories\img3.jpg
33,Classic Leather Wallet,Premium leather wallet with multiple card slots and a sleek finish.,Accessories,FashionHub,899,35,4.71,images/accessories\img4.jpg.jfif
34,Satin Hair Scrunchie Set,Soft satin scrunchies designed to reduce hair breakage while adding style.,Accessories,FashionHub,399,50,4.37,images/accessories\img5.jpg.jfif
35,Casual Pink Linen Shirt,"Stylish pink linen shirt paired with white trousers, perfect for casual outings and summer wear.",Men,FashionHub,1499,30,4.83,images/men\img1.jpg.jfif
37,Oversized White Co-ord Set,"Trendy oversized white shirt with matching trousers, offering a modern minimalist look.",Men,FashionHub,1899,25,4.56,images/men\img2.jpf.jfif
38,Oversized Sky Blue Linen Shirt,Premium oversized Sky Blue Linen shirt styled with black trousers for a fashionable streetwear appearance.,Men,FashionHub,1999,22,4.7,images/men\img4.jpg.jpg
39,Elegant Pastel Yellow Co-Ord Set ,"Sophisticated sleeveless Pastel Yellow Co-Ord Set designed for vacations, brunches, and evening outings.",Women,FashionHub,2199,20,4.77,images/women\img1.jfif
40,Floral Summer Co-ord Set,Lightweight floral top and shorts set crafted for maximum comfort during warm weather.,Women,FashionHub,1699,28,4.86,images/women\img2.jfif
43,Striped Winter Sweater Outfit,Cozy striped knit sweater paired with denim for a timeless winter fashion statement.,Women,FashionHub,1899,24,4.39,images/women\img5.jfif
